2026-04-24T10:53:54.659+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  7 ms] [default] [gfast_v32] [rows:32 ] SHOW TABLES
2026-04-24T10:53:54.662+08:00 [DEBU] {3c650393632ba9185d27ae5192885cbe} [  3 ms] [default] [gfast_v32] [rows:14 ] SHOW FULL COLUMNS FROM `sys_job`
2026-04-24T11:10:05.630+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:10:05.631+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:10:05.639+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  8 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:10:05','在线用户定时更新，执行成功') 
2026-04-24T11:20:05.632+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:20:05.634+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:20:05.637+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:20:05','在线用户定时更新，执行成功') 
2026-04-24T11:30:05.836+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:30:05.837+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:30:05.937+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [100 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:30:05','在线用户定时更新，执行成功') 
2026-04-24T11:40:05.831+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:40:05.832+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:40:05.839+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:40:05','在线用户定时更新，执行成功') 
2026-04-24T11:50:05.830+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T11:50:05.831+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T11:50:05.835+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 11:50:05','在线用户定时更新，执行成功') 
2026-04-24T12:00:05.841+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:00:05.841+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:00:05.847+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:00:05','在线用户定时更新，执行成功') 
2026-04-24T12:10:05.932+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:10:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:10:05.940+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:10:05','在线用户定时更新，执行成功') 
2026-04-24T12:20:05.932+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:20:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:20:05.941+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  8 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:20:05','在线用户定时更新，执行成功') 
2026-04-24T12:30:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:30:05.931+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:30:05.938+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:30:05','在线用户定时更新，执行成功') 
2026-04-24T12:40:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:40:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:40:05.937+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:40:05','在线用户定时更新，执行成功') 
2026-04-24T12:50:05.932+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T12:50:05.933+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T12:50:05.939+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 12:50:05','在线用户定时更新，执行成功') 
2026-04-24T13:00:05.929+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:00:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:00:05.938+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:00:05','在线用户定时更新，执行成功') 
2026-04-24T13:10:05.930+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:10:05.931+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:10:05.939+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:10:05','在线用户定时更新，执行成功') 
2026-04-24T13:20:05.931+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:20:05.931+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:20:05.935+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:20:05','在线用户定时更新，执行成功') 
2026-04-24T13:30:05.030+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:30:05.030+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:30:05.038+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:30:05','在线用户定时更新，执行成功') 
2026-04-24T13:40:05.029+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:40:05.030+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:40:05.037+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:40:05','在线用户定时更新，执行成功') 
2026-04-24T13:50:05.036+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T13:50:05.037+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T13:50:05.040+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 13:50:05','在线用户定时更新，执行成功') 
2026-04-24T14:00:05.030+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:00:05.030+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:00:05.036+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:00:05','在线用户定时更新，执行成功') 
2026-04-24T14:10:05.136+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:10:05.136+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:10:05.140+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:10:05','在线用户定时更新，执行成功') 
2026-04-24T14:20:05.131+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:20:05.132+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:20:05.135+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:20:05','在线用户定时更新，执行成功') 
2026-04-24T14:30:05.132+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:30:05.133+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:30:05.140+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:30:05','在线用户定时更新，执行成功') 
2026-04-24T14:40:05.231+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:40:05.231+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:40:05.234+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:40:05','在线用户定时更新，执行成功') 
2026-04-24T14:50:05.230+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T14:50:05.230+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T14:50:05.233+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 14:50:05','在线用户定时更新，执行成功') 
2026-04-24T15:00:05.233+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:00:05.234+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:00:05.238+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:00:05','在线用户定时更新，执行成功') 
2026-04-24T15:10:05.230+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:10:05.231+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:10:05.234+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  3 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:10:05','在线用户定时更新，执行成功') 
2026-04-24T15:20:05.334+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:20:05.334+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:20:05.339+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:20:05','在线用户定时更新，执行成功') 
2026-04-24T15:30:05.329+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:30:05.330+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:30:05.337+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  7 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:30:05','在线用户定时更新，执行成功') 
2026-04-24T15:40:05.338+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:40:05.339+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:40:05.345+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:40:05','在线用户定时更新，执行成功') 
2026-04-24T15:50:05.431+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T15:50:05.432+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T15:50:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  6 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 15:50:05','在线用户定时更新，执行成功') 
2026-04-24T16:00:05.432+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  2 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:00:05.432+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:00:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  5 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:00:05','在线用户定时更新，执行成功') 
2026-04-24T16:10:05.437+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  1 ms] [default] [gfast_v32] [rows:1  ] SELECT COUNT(1) FROM `sys_user_online`
2026-04-24T16:10:05.438+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  0 ms] [default] [gfast_v32] [rows:0  ] SELECT `id`,`uuid`,`token`,`create_time`,`user_name`,`ip`,`explorer`,`os` FROM `sys_user_online` ORDER BY `create_time` DESC LIMIT 0,50
2026-04-24T16:10:05.442+08:00 [DEBU] {c5999394632ba9185e27ae51245d876c} [  4 ms] [default] [gfast_v32] [rows:1  ] INSERT INTO `sys_job_log`(`target_name`,`created_at`,`result`) VALUES('checkUserOnline','2026-04-24 16:10:05','在线用户定时更新，执行成功') 
